VIBR;10906;78.00
FLUX;9452;99.00
TEMP;20692;77.00
FLUX;23315;89.00
TEMP;10388;74.00
FLUX;24830;24.00
PRES;29678;1.00
PRES;17019;3.00
VIBR;168;29.00
TEMP;20134;1.00
PRES;24599;7.00
TEMP;11726;14.00
FLUX;11432;13.00
PRES;25322;5.00
FLUX;16955;29.00
PRES;11215;4.00
TEMP;26083;20.00
FLUX;16224;95.00
TEMP;3745;63.00
TEMP;19306;19.00
PRES;9269;82.00
TEMP;23537;46.00
TEMP;27164;27.00
PRES;5139;4.00
PRES;15442;77.00
UMID;25810;84.00
UMID;4211;0.00
TEMP;18526;18.00
UMID;10574;47.00
FLUX;2238;42.00
UMID;25613;75.00
TEMP;20192;82.00
FLUX;19824;32.00
VIBR;13176;12.00
VIBR;4832;30.00
VIBR;23876;83.00
UMID;13880;76.00
FLUX;28800;25.00
UMID;31898;91.00
VIBR;16816;91.00
PRES;12206;34.00
PRES;29204;18.00
TEMP;17937;36.00
TEMP;26202;23.00
FLUX;13036;69.00
TEMP;30825;88.00
TEMP;17896;85.00
TEMP;27493;48.00
TEMP;31726;42.00
TEMP;5418;39.00
VIBR;13954;77.00
TEMP;29440;95.00
PRES;21144;83.00
PRES;1841;9.00
FLUX;22827;29.00
VIBR;31681;27.00
FLUX;21256;30.00
VIBR;10884;10.00
VIBR;30340;30.00
PRES;25918;13.00
VIBR;16669;21.00
TEMP;14482;97.00
FLUX;26671;18.00
TEMP;31469;43.00
PRES;13127;37.00
UMID;21678;36.00
VIBR;6075;17.00
TEMP;8509;44.00
UMID;8336;5.00
UMID;8396;48.00
UMID;7890;24.00
TEMP;244;7.00
TEMP;7658;65.00
UMID;22138;16.00
FLUX;29856;5.00
VIBR;19659;78.00
PRES;22203;34.00
FLUX;8224;78.00
TEMP;21637;45.00
FLUX;32071;2.00
UMID;3238;20.00
TEMP;11899;1.00
PRES;18943;27.00
PRES;7898;56.00
TEMP;10907;42.00
FLUX;18006;1.00
PRES;3537;62.00
PRES;3641;94.00
VIBR;14112;33.00
FLUX;17035;85.00
PRES;8311;41.00
PRES;16127;54.00
PRES;12769;79.00
UMID;17977;64.00
UMID;19918;68.00
VIBR;26755;30.00
VIBR;10358;98.00
VIBR;6983;46.00
PRES;1535;38.00
VIBR;13557;73.00
PRES;3699;72.00
TEMP;31000;40.00
PRES;14252;58.00
TEMP;20159;86.00
UMID;9397;77.00
VIBR;12175;98.00
VIBR;5982;67.00
UMID;26650;55.00
TEMP;31723;20.00
TEMP;29254;55.00
VIBR;45;44.00
VIBR;6382;76.00
VIBR;24162;1.00
UMID;16393;26.00
VIBR;22960;27.00
TEMP;12015;88.00
FLUX;11541;83.00
VIBR;8856;47.00
FLUX;12070;40.00
UMID;19444;63.00
FLUX;31732;36.00
VIBR;17054;64.00
PRES;25573;48.00
UMID;28314;17.00
PRES;31091;38.00
VIBR;3052;82.00
FLUX;12547;35.00
PRES;16665;98.00
VIBR;27990;5.00
VIBR;24057;52.00
VIBR;22595;91.00
TEMP;19045;79.00
PRES;23227;53.00
TEMP;1182;98.00
VIBR;14402;34.00
PRES;23944;52.00
FLUX;4455;78.00
PRES;29965;68.00
TEMP;11746;38.00
FLUX;25406;98.00
PRES;14933;45.00
VIBR;2834;84.00
TEMP;28405;31.00
VIBR;22994;7.00
FLUX;11132;53.00
UMID;17038;22.00
FLUX;18989;18.00
PRES;10039;84.00
PRES;3807;6.00
UMID;10544;19.00
UMID;30787;60.00
UMID;6506;59.00
UMID;10458;9.00
UMID;1140;0.00
VIBR;27237;33.00
VIBR;12550;18.00
PRES;18859;49.00
TEMP;26593;40.00
UMID;16869;5.00
VIBR;4648;63.00
VIBR;13887;72.00
FLUX;14206;27.00
PRES;23840;62.00
